source_id,name,phone,phone_secondary,contact_person,address,notes
64,LA DISTRIBUTION,29399855,27980378,Anis Jallouli,,
65,AG Distribution,,,,,
66,AUTRE,,,,,
67,BIBLIOTHEQUE,,,,,
68,PHARMACIE,,,,,
69,PHARMACIE CENTRALE,,,,,
70,FERIMEDICAL,,,,,
71,DDS COMPANY,,,,,
72,EXPRESS MEDICAL,22671809,,Salah Bouraoui,,
73,DENTAMED,50805045,,,Résidence Bardo Palace 63...,
74,DEX,,,Nizar,,
75,PROMOSCIENCES,,,Ahmed Frifita,,
76,MEDUSE,50559388,,,,Mobile number (labeled "Portable 1" in source)
77,DDPS,98168161,,Ines,,
78,MYTEK,,,,,
79,MSC LAB EQUIPEMENTS,21162984,52162661,Med Bouaziz,,
80,SETS,,,Raouya,,
81,PARA-MED,,,,,
83,DENTAL CONCEPT,71963747,,Majed Mzid,,
85,AL HAYAT GROUP,,,,,
90,IMD,22356831,99907900,,,
92,ART DENTA,,,,,
93,I.T.S,,,,,
96,Syphax Medico Dentaire,,,,,
97,STE BEN ABDELJLIL,,,,,
98,OCG,,,,,
99,NEW MED,,,,,
101,DIGITAL DENTAL DISTRIBUTION,,,,,
103,MEDICAL ADVANCED TECHNOLOGY,,,,,
104,GOLDEN MEDICAL,,,,,
105,SMART MED,,,,,
106,ROTOR MEDICAL,,,,,
107,TUNIMED+,,,,,
108,MEDIDENT,,,,,
112,NEW VISION,,,,,
114,DISTRI-DENPLUS,,,,,
116,HAUTES TECHNOLOGIES,,,,,
117,PREMIUM ORTHO CONSORTIUM,,,,,
120,SPLASH DISTRIBUTION,,,,,
121,GOMEDICAL,,,,,
122,Pôle dentaire,55776830,28353398,Raouf Abdelli,,
129,DENTORAMA,27910966,26039438,,Boutique Dentorama ICC,
134,YES TO MED,55748141,22635454,,1 Rue EL AGHALBA,
135,COMPTOIRE DENTAIRE,52664255,,,"Route Raoued 7,5 Km",
136,ERGO DENT,71934318,98575170,,11 Route Monastir,
